benchmark,primaryScore,noOfValues,CYCLE_ACTIVITY.STALLS_L2_MISS,CYCLE_ACTIVITY.CYCLES_L1D_MISS,CYCLE_ACTIVITY.STALLS_TOTAL,LLC-loads,CYCLE_ACTIVITY.CYCLES_L2_MISS,CYCLE_ACTIVITY.STALLS_L1D_MISS,L1-dcache-loads,L2_RQSTS.ALL_DEMAND_DATA_RD,LLC-load-misses,CYCLE_ACTIVITY.CYCLES_L3_MISS,CYCLE_ACTIVITY.STALLS_L3_MISS,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,1.6737771556837985E8,4,0.0045515830980216035,0.008419922146085381,0.1516407020913378,1.1522127869579782E-4,0.0073296891798218765,0.005039523157737959,20.0374540798729,2.660066437316544E-4,6.5039210490719005E-6,0.0038951852711753086,0.001427674032252849,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,1.2100934551124541E8,8,0.006773095111505596,0.010193999096534647,0.39733243406759805,1.4485896022124818E-4,0.008605336821621082,0.005109091110122095,26.069033304012528,3.351557659750212E-4,2.0078769497455772E-5,9.746357496072122E-4,0.003936879214299192,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,8.102814092482609E7,16,0.008244108605605493,0.016736085179998028,1.758252954191376,2.205206814910386E-4,0.015221001777225254,0.008368160696143647,34.048118902281054,5.217218293104599E-4,1.1052449212276318E-5,0.008201754218189816,0.007962730240706262,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,4.386202709985994E7,32,0.012243025202978493,0.01479939785211187,9.287546624770265,5.93671689741223E-4,0.011739993440281446,0.01426985873976732,50.1083818426613,0.0012106845865166606,6.41513536315927E-5,0.00502602960432074,0.002475177168253674,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,1.9138487115206458E7,64,0.017628828092516386,0.03160143428206452,45.017856519937304,0.0013930075098349125,0.0557699621239848,0.034875295813617466,81.91776026046313,0.002108959196389901,1.438818910255246E-4,0.030403712722020013,0.00677002585474529,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,8687969.222164426,128,0.03428818227582767,0.07888384875258664,128.9633959633631,0.003035842801486129,0.1043777364385814,0.07240372501668141,146.04916975413468,0.004816286734342427,3.935854064888791E-4,0.06682416922531352,0.012221567138946007,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,3553571.012368677,256,0.24862625315937878,0.5517087991984362,442.5177152519052,0.0055049477358918835,0.45093676759352086,0.24422522570685132,274.2290892431386,0.013166940472600076,3.523833785770478E-4,0.23168610568659934,0.15853959301734394,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,1627365.9666257808,512,0.3590307602994699,0.6812506801435247,1078.7505774949566,0.019274874539892562,0.4948354013683323,0.6104572706921051,531.2004338831147,0.03910584323116814,0.0030230150621686543,0.27028799737576353,0.18465670610521906,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,777068.0502726338,1024,1.1247588470102499,2.463147061771803,2357.0237932040654,0.027456308835559776,1.7945459929687182,1.4623809536688464,1043.4589682895007,0.08284330439531085,0.0011937583160593276,0.9598804817300464,1.1175661022064096,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,382060.278010961,2048,2.561137180582083,6.509653142199698,4899.418789585416,0.11850691177378311,4.260622017657153,4.953264378843899,2069.8476411877023,0.279550905309321,0.015362535839131162,3.0836077797972417,1.6568836459794376,
com.bhf.averages.CalculatingAveragesForEach.testSimpleArrayAverageForEach,186209.51566067382,4096,15.451761966518534,195.9745057596056,10070.637013804038,0.38501615945320766,16.216214813680658,110.68774250932648,4132.652241969505,19.558203980325874,0.01775758768424423,5.856130638328182,9.543480539148607,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,1.6737540884652907E8,4,0.003103409197343695,0.0030990812473612353,0.1252342199824715,1.4846390834303666E-4,0.005215198370429078,0.0035912906412314738,20.085553007860927,2.218414574569983E-4,3.6518825623714085E-6,0.0026598157619411806,9.331091231458376E-4,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,1.1399062117674953E8,8,0.003970727857937559,0.007246727406145061,1.0112138438390816,2.82700234922048E-4,0.00635899809683676,0.00490006819503223,26.0495316228605,3.933828244956087E-4,5.4381227792143146E-5,0.007541081148198066,0.0021712535719412367,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,7.984231856829426E7,16,0.005253903507297242,0.014646033105343887,1.1658780686395671,2.512882655121682E-4,0.011598835937882634,0.010152405046471333,34.086878984712335,5.656522071476939E-4,4.085340415771642E-5,0.005998723015457057,0.006081620098627076,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,4.1389220313398466E7,32,0.03786867166950999,0.04019404397027044,11.24101139246613,8.303702292592766E-4,0.037011786878688835,0.042367606482463405,50.19622963287462,0.0015504628564035827,1.9191480338304572E-4,0.024988808168416924,0.022839656755756457,
com.bhf.averages.CalculatingAveragesFori.testSimpleArrayAverageForI,1.9186271475244336E7,64,0.014489629577484512,0.06259890423086388,44.407919969387606,9.748817193949021E-4,0.049888581832206964,0.019169096158912078,82.16587320302511,0.0021819248755859306,1.0882081255272994E-4,0.025399125224169032,0.025193965166039625,
